"","RTB_AREA","POPULATION","EMPLOYED","HOUSING_STOCK","AVG_RENT","VACANT_HOUSES","YEAR"
"1","Ballybofey, Donegal",18641,6163.30549160031,7765,509.33,1059,"2011"
"2","Buncrana, Donegal",3452,1141.34062319641,1828,487.36,363,"2011"
"3","Bundoran, Donegal",1781,588.855055015297,1604,465.47,500,"2011"
"4","Carndonagh, Donegal",36504,12069.3795217734,17585,435.14,2662,"2011"
"5","Rural Donegal",37364,12353.722782477,23682,482.95,3939,"2011"
"6","Donegal Town",13035,4309.78418985087,6645,514.32,1053,"2011"
"7","Letterkenny, Donegal",42868,14173.5196509802,21399,487.09,3266,"2011"
"8","Lifford, Donegal",2956,977.347300744087,1308,461.46,184,"2011"
"9","Stranorlar, Donegal",4536,1499.74538436237,2102,495.51,334,"2011"
"10","Ballybofey, Donegal",18612,6289.61156237746,7771,478.71,1042,"2012"
"11","Buncrana, Donegal",3440,1162.48999433583,1821,452.53,348,"2012"
"12","Bundoran, Donegal",1758,594.086456407671,1616,444.62,457,"2012"
"13","Carndonagh, Donegal",36368,12289.9523587225,17585,414.64,2617,"2012"
"14","Rural Donegal",36994,12501.4985030406,23748,463.63,3936,"2012"
"15","Donegal Town",13039,4406.31018492584,6651,494.44,1069,"2012"
"16","Letterkenny, Donegal",42991,14528.0835309569,21479,471.35,3194,"2012"
"17","Lifford, Donegal",2926,988.792361461232,1308,453.28,191,"2012"
"18","Stranorlar, Donegal",4531,1531.17504777199,2112,469.45,341,"2012"
"19","Ballybofey, Donegal",18580,6415.02781124561,7778,450.58,1029,"2013"
"20","Buncrana, Donegal",3427,1183.22391330133,1813,437.67,333,"2013"
"21","Bundoran, Donegal",1735,599.035158908026,1628,431.39,414,"2013"
"22","Carndonagh, Donegal",36236,12511.0305580353,17584,381.79,2574,"2013"
"23","Rural Donegal",36627,12646.0292595529,23818,444.91,3932,"2013"
"24","Donegal Town",13042,4502.94901583774,6657,471.33,1089,"2013"
"25","Letterkenny, Donegal",43117,14886.8005456123,21559,447.51,3127,"2013"
"26","Lifford, Donegal",2896,999.888080805559,1308,432.45,198,"2013"
"27","Stranorlar, Donegal",4527,1563.01565670123,2122,439.72,348,"2013"
"28","Ballybofey, Donegal",18553,6543.06764972919,7783,443.37,1012,"2014"
"29","Buncrana, Donegal",3415,1204.3645784415,1806,432.08,317,"2014"
"30","Bundoran, Donegal",1711,603.416630662785,1640,436.9,372,"2014"
"31","Carndonagh, Donegal",36097,12730.2922951692,17582,374.9,2529,"2014"
"32","Rural Donegal",36252,12784.9559876021,23882,445.74,3929,"2014"
"33","Donegal Town",13045,4600.5668889515,6662,457.65,1106,"2014"
"34","Letterkenny, Donegal",43244,15250.8175198021,21640,459.02,3051,"2014"
"35","Lifford, Donegal",2866,1010.74930653392,1309,418.98,204,"2014"
"36","Stranorlar, Donegal",4522,1594.7691431076,2132,426.81,354,"2014"
"37","Ballybofey, Donegal",18521,6669.20235127141,7790,456.73,999,"2015"
"38","Buncrana, Donegal",3402,1225.02167264323,1798,445.12,302,"2015"
"39","Bundoran, Donegal",1688,607.829683545496,1652,428.69,329,"2015"
"40","Carndonagh, Donegal",35965,12950.589199475,17581,406.17,2486,"2015"
"41","Rural Donegal",35885,12921.7821054681,23952,461.52,3925,"2015"
"42","Donegal Town",13048,4698.43703252467,6668,467.66,1126,"2015"
"43","Letterkenny, Donegal",43370,15617.0458384883,21720,479.1,2984,"2015"
"44","Lifford, Donegal",2836,1021.21148254445,1309,430.45,211,"2015"
"45","Stranorlar, Donegal",4518,1626.88063403943,2142,426.63,361,"2015"
"46","Ballybofey, Donegal",18492,6797.03742244339,7796,475.67,982,"2016"
"47","Buncrana, Donegal",3390,1246.05001417278,1791,466.86,287,"2016"
"48","Bundoran, Donegal",1665,611.998015810526,1664,444.42,286,"2016"
"49","Carndonagh, Donegal",35829,13169.535680766,17581,404.63,2441,"2016"
"50","Rural Donegal",35515,13054.1198387452,24018,486.35,3922,"2016"
"51","Donegal Town",13052,4797.47633775314,6674,490.35,1142,"2016"
"52","Letterkenny, Donegal",43493,15986.5643853737,21800,514.64,2912,"2016"
"53","Lifford, Donegal",2806,1031.39125066927,1309,456.22,218,"2016"
"54","Stranorlar, Donegal",4513,1658.82705426601,2152,437.48,368,"2016"
