"","Towns.by.Size","County","PersonsPerSqKm","TotalPopulation","AllHouseholds","ICT_OwnsPC","ICT_DoesNotOwnPC","ICT_BroadBand","ICT_InternetNonBroadband","ICT_NoInternet","Heating_HasCentral","Heating_NoCentral","Sewerage_Public","Sewerage_IndSeptic","Sewerage_IndNonSeptic","Sewerage_Other","Sewerage_None","Water_PublicMains","Water_PublicGroupScheme","Water_PrivateGroupScheme","Water_OtherPrivateSource","Water_NoPipedWater","Household_Income","Avg_Rent"
"1","Drogheda","LH",2776.6,40956,14558,9650,4295,10860,616,2559,14005,127,13484,127,14,50,14,13521,230,50,31,7,38876,816.13
"2","Dundalk","LH",1651,39004,14443,8999,4807,10111,853,2924,13889,120,13280,295,13,44,11,13476,189,17,49,3,36591,726.58
"3","Swords","D",3791.7,39248,12889,10033,2419,11230,401,880,12501,52,12024,108,14,39,5,12060,231,11,12,5,60409,1203.5
"4","Bray","WW",4035.7,32600,11338,8413,2610,9163,435,1481,10978,182,10737,93,16,31,9,10801,168,11,8,0,48909,1131.94
"5","Ennis","CE",1286.6,25276,9729,6559,2796,6875,771,1753,9373,97,8480,664,45,27,8,9096,173,30,16,1,40508,585.05
"6","Kilkenny","KK",2115.9,26512,9672,6488,2923,7076,615,1782,9414,105,9169,118,13,38,5,9145,196,9,20,3,41347,693.92
"7","Tralee","KY",1260.6,23691,9244,5831,3122,6254,645,2086,8867,203,8291,399,49,24,5,8587,205,18,15,3,32995,597.1
"8","Carlow","CW",2063.4,24272,9032,5832,2752,6530,519,1559,8581,62,8172,162,7,24,5,8215,160,13,53,5,35890,665.86
"9","Naas","KE",2567.7,21393,7109,5627,1342,6096,249,658,6984,47,6824,77,7,13,1,6841,98,9,5,0,61241,1064.64
"10","Athlone","WH",1338.8,21349,7963,5146,2471,5623,552,1466,7666,88,7121,283,24,31,9,7268,239,8,20,5,37199,670.39
"11","Portlaoise","LS",1829.3,22050,7452,4941,2186,5615,441,1126,7173,46,6887,59,7,31,6,6912,143,3,17,0,40242,666.16
"12","Mullingar","WH",1575,20928,7698,5117,2356,5584,556,1365,7507,74,7181,144,6,28,6,7250,155,12,11,4,40156,603.52
"13","Wexford","WX",998,20188,8026,4966,2814,5295,643,1882,7687,166,7359,282,40,29,11,7525,119,20,84,4,35160,610.5
"14","Balbriggan","D",4514.1,21722,7271,5033,1927,5722,360,922,7013,65,6658,62,12,31,9,6696,146,7,11,4,43560,971.11
"15","Letterkenny","DL",1240,19274,7466,4889,2294,5285,588,1336,7218,42,6421,495,46,43,4,6880,185,18,14,0,35818,514.64
"16","Celbridge","KE",3463.5,20288,6543,5360,1062,5788,211,452,6441,33,6289,77,6,14,4,6322,81,5,4,0,64877,1108.39
"17","Sligo","SO",1858.5,19199,7486,4632,2550,5102,515,1610,7172,100,6852,190,11,28,4,6959,146,12,7,1,34802,642.07
"18","Clonmel","T",1636.4,17140,6727,4267,2290,4757,324,1508,6567,82,6281,209,15,18,3,6430,105,9,8,1,38509,626.75
"19","Greystones","WW",2036.6,18140,6214,5158,940,5450,208,451,6087,41,5840,183,24,16,4,5947,77,6,39,0,63232,1299.12
"20","Malahide","D",2850.3,16550,5753,4946,688,5215,94,353,5649,24,5507,65,19,15,0,5523,91,2,3,1,78631,1572.97
"21","Leixlip","KE",3138.9,15504,5219,4235,862,4632,133,348,5106,28,5037,22,1,6,3,5033,54,2,3,0,63106,1190.83
"22","Carrigaline","C",3430.1,15770,5219,4182,962,4459,222,482,5152,21,4957,123,21,8,3,5092,51,2,3,0,59353,907.39
"23","Tullamore","OY",1101.5,14607,5306,3318,1744,3559,431,1097,5089,44,4811,141,7,10,6,4872,125,12,11,2,38423,615.95
"24","Killarney","KY",1796.3,14504,4542,2929,1424,3010,379,983,4359,60,4027,176,25,20,5,4194,102,8,8,2,38560,702.82
"25","Arklow","WW",2492.5,13163,4845,3224,1482,3459,347,919,4671,87,4393,62,26,108,43,4544,102,8,16,0,37726,730.7
"26","Maynooth","KE",2818.8,14585,4673,3721,815,4053,208,297,4535,21,4401,42,0,14,0,4410,72,3,2,0,64529,1227.95
