Town,County,Rent_OneBed,Rent_TwoBed,Rent_ThreeBed,Rent_FourPlusBed,Avg_Rent
Carlow,CW,493.63,605.17,667.53,837.37,665.86
Carlow Town,CW,476.02,617.87,678.78,954.12,695.81
Graiguecullen,CW,,,680.9,,633.93
Tullow,CW,,573.12,623.32,715.79,615.3
Cavan Town,CN,376.31,471.36,540.58,615.76,529.3
Bailieborough,CN,,,512.64,,498.13
Ballyconnell,CN,,,419.8,,423.65
Ballyjamesduff,CN,,,526.8,568.6,515.45
Belturbet,CN,,,458.77,,453.75
Cootehill,CN,,495.73,457.74,,478.16
Kingscourt,CN,,,548.89,616.53,545.92
Virginia,CN,,488.06,599.44,664.15,587.9
Clare,CE,421.87,516.27,585.2,678.84,576.91
Ennis,CE,429.46,511.72,600.7,689.12,585.05
Killaloe,CE,,608.33,690.29,,685.09
Kilrush,CE,,447.17,451.92,,457.53
Shannon,CE,,598.93,621.46,675.77,608.07
Sixmilebridge,CE,,,623.24,,620.14
Cork City,C,713,951.87,1015.5,1246.7,965.93
Ballincollig,C,802.48,1029.05,1021.46,1181.88,1036.57
Ballintemple,C,,916.67,,,982.83
Ballinure,C,,,,,1054.78
Bandon,C,492.78,651.2,791.99,927.94,737.14
Bantry,C,,511.71,574.37,649.51,551.02
Bishopstown,C,,1018.74,1108.92,1383.4,1207.92
Blackpool,C,721.19,890.73,909.64,,875.84
Blackrock,C,808.29,1009.32,1093.37,1419.28,1043.6
Blarney,C,597.1,812.51,881.97,1020.33,839.84
Carrigaline,C,,771.7,908.71,1135.28,907.39
Carrigtwohill,C,,794.43,845.1,,821.55
Castlemartyr,C,,,718.59,,698.32
Charleville,C,,528.1,605.18,671.3,593.59
Clonakilty,C,518.19,599.36,719.88,799.51,664.48
Cloyne,C,,,774.07,,757.51
Cobh,C,560.69,677.41,748.78,942.87,713.96
Crosshaven,C,,789.11,877.69,,866.28
Douglas,C,711.86,1067.21,1119.14,1280.29,1098.47
Dunmanway,C,,,648.51,,618.46
Fermoy,C,448.11,565.2,681.99,738.7,630.42
Frankfield,C,,,1086.63,,1115.78
Glanmire,C,631.24,890.84,965.47,1123.7,934.85
Kanturk,C,,,571.58,,561.57
Kinsale,C,672.05,841.73,1019.07,1394.36,960.16
Macroom,C,,545.86,676.15,739.86,654.97
Mallow,C,520.98,603.6,702.38,803.54,679.38
Midleton,C,557.02,746.59,809.25,978.33,793.26
Millstreet,C,,,620.28,,577.09
Mitchelstown,C,,481.8,682,707.04,600.14
Montenotte,C,648.53,,,,880.98
Passage West,C,,813.35,940.33,,857.5
Rathcormac,C,,,727.79,,685.23
Rochestown,C,932.46,1066.07,1219.04,1463.37,1153.42
Skibbereen,C,418.98,474.01,577.57,628.63,520.19
Tivoli,C,,994.6,,,953.94
Tower,C,,,,,991.15
Wilton,C,,899.75,968.32,1193.13,996.6
Youghal,C,459.95,556.99,657.99,743.73,603.97
Donegal,DL,376.29,436.4,488.58,552.77,486.35
Donegal Town,DL,,449.49,476.12,541.73,490.35
Ballybofey,DL,,389.31,490.46,537.33,475.67
Buncrana,DL,,402.2,481,496.28,466.86
Bundoran,DL,,,450.46,,444.42
Carndonagh,DL,,,402.74,,404.63
Letterkenny,DL,392.58,464.98,525.54,584.96,514.64
Lifford,DL,,383.51,443.62,543.97,456.22
Stranorlar,DL,,414.54,,,437.48
Balbriggan,D,708.41,929.12,1068.34,1182.22,971.11
Blackrock,D,1229.33,1503.69,1857.33,2628.82,1719.48
Booterstown,D,1300.71,1524.94,2043.79,2435.61,1744.4
Dalkey,D,1220.64,1584.88,2231.14,3309.49,2011.01
Donabate,D,833.11,1072.49,1263.64,1620.8,1123.08
Dun Laoghaire,D,1010.39,1480.09,1753.43,2603.14,1433.91
Glenageary,D,,,1770.67,2378.06,1831.15
Howth,D,1062.08,1482.98,1637.97,,1559.33
Killiney,D,,1527.08,1815.13,2345.74,1773.01
Kinsealy,D,,1130.61,1243.79,,1215.06
Lucan,D,947.77,1161.9,1238.28,1381.69,1223.16
Lusk,D,,1015.49,1161.18,,1125.16
