"","RTB_AREA","POPULATION","EMPLOYED","HOUSING_STOCK","AVG_RENT","VACANT_HOUSES","HOUSEHOLD_INCOME","YEAR","POP_DIFF_FROM_MEAN","RENT_DIFF_FROM_MEAN","PERCENT_AVAILABLE"
"1","BALL",17958,6306,7752,570.32,1089,35286.3242241634,"2009",671,18.39,0.140479876160991
"2","BUNC",3436,1207,1843,538.74,393,26091.271453263,"2009",-13851,-13.1900000000001,0.213239283776451
"3","BUND",1751,615,1580,542,586,25951.5003503527,"2009",-15536,-9.93000000000006,0.370886075949367
"4","CARN",34733,12197,17586,495.2,2750,27863.5690381651,"2009",17446,-56.7300000000001,0.156374388718299
"5","RUR",36770,12912,23546,548.91,3946,31975.1583933887,"2009",19483,-3.0200000000001,0.167586851269855
"6","DNG",12629,4435,6633,620.35,1017,34371.7109356752,"2009",-4658,68.42,0.153324287652646
"7","LK",41074,14423,21239,560.07,3405,36804.520945595,"2009",23787,8.13999999999999,0.16031828240501
"8","LIFF",2851,1001,1308,531.54,170,26796.6163404494,"2009",-14436,-20.3900000000001,0.129969418960245
"9","STRN",4381,1538,2082,560.24,320,31044.1603213902,"2009",-12906,8.30999999999995,0.153698366954851
"10","BALL",18301,6235,7759,546.16,1076,34386.4998416925,"2010",704.666666666668,29.5544444444444,0.138677664647506
"11","BUNC",3444,1173,1835,511.34,378,25425.9269397861,"2010",-14152.3333333333,-5.26555555555564,0.205994550408719
"12","BUND",1766,602,1592,506.68,543,25289.7200915588,"2010",-15830.3333333333,-9.9255555555556,0.34108040201005
"13","CARN",35617,12135,17585,472.34,2707,27153.0297753071,"2010",18020.6666666667,-44.2655555555556,0.153938015353995
"14","RUR",37068,12629,23616,515.83,3942,31159.7709086238,"2010",19471.6666666667,-0.77555555555557,0.166920731707317
"15","DNG",12834,4373,6639,534.64,1037,33495.2097911898,"2010",-4762.33333333333,18.0344444444444,0.156198222623889
"16","LK",41974,14301,21319,525.36,3338,35865.9815522135,"2010",24377.6666666667,8.7544444444444,0.156573948121394
"17","LIFF",2904,989,1308,501.24,177,26113.2850703041,"2010",-14692.3333333333,-15.3655555555556,0.135321100917431
"18","STRN",4459,1519,2092,535.86,327,30252.5138973233,"2010",-13137.3333333333,19.2544444444444,0.156309751434034
"19","BALL",18641,6163,7765,509.33,1059,33838.349942646,"2011",736.888888888891,27.26,0.136381197681906
"20","BUNC",3452,1141,1828,487.36,363,25020.6161535946,"2011",-14452.1111111111,5.29000000000002,0.198577680525164
"21","BUND",1781,589,1604,465.47,500,24886.5805577615,"2011",-16123.1111111111,-16.6,0.311720698254364
"22","CARN",36504,12069,17585,435.14,2662,26720.1875087588,"2011",18599.8888888889,-46.93,0.151379016206995
"23","RUR",37364,12354,23682,482.95,3939,30663.0577986385,"2011",19459.8888888889,0.879999999999995,0.16632885736002
"24","DNG",13035,4310,6645,514.32,1053,32961.267809595,"2011",-4869.11111111111,32.2500000000001,0.158465011286682
"25","LK",42868,14174,21399,487.09,3266,35294.2474630344,"2011",24963.8888888889,5.01999999999998,0.152623954390392
"26","LIFF",2956,977,1308,461.46,184,25697.0172139954,"2011",-14948.1111111111,-20.61,0.140672782874618
"27","STRN",4536,1500,2102,495.51,334,29770.2632316532,"2011",-13368.1111111111,13.44,0.158896289248335
"28","BALL",18612,6290,7771,478.71,1042,34321.2832121373,"2012",761,18.4155555555556,0.134088276927036
"29","BUNC",3440,1162,1821,452.53,348,25377.7047227542,"2012",-14411,-7.76444444444445,0.191103789126853
"30","BUND",1758,594,1616,444.62,457,25241.7562012426,"2012",-16093,-15.6744444444444,0.28279702970297
"31","CARN",36368,12290,17585,414.64,2617,27101.531975522,"2012",18517,-45.6544444444444,0.148820017059994
"32","RUR",36994,12501,23748,463.63,3936,31100.6740175261,"2012",19143,3.33555555555557,0.165740272865083
"33","DNG",13039,4406,6651,494.44,1069,33431.6835614519,"2012",-4812,34.1455555555556,0.160727710118779
"34","LK",42991,14528,21479,471.35,3194,35797.9589723263,"2012",25140,11.0555555555556,0.148703384701336
"35","LIFF",2926,989,1308,453.28,191,26063.7592259541,"2012",-14925,-7.01444444444445,0.146024464831804
"36","STRN",4531,1531,2112,469.45,341,30195.1376886065,"2012",-13320,9.15555555555557,0.161458333333333
"37","BALL",18580,6415,7778,450.58,1029,34331.189535614,"2013",781.444444444445,13.0966666666666,0.132296220107997
"38","BUNC",3427,1183,1813,437.67,333,25385.0296164806,"2013",-14371.5555555556,0.186666666666667,0.183673469387755
"39","BUND",1735,599,1628,431.39,414,25249.0418554678,"2013",-16063.5555555556,-6.09333333333336,0.254299754299754
"40","CARN",36236,12511,17584,381.79,2574,27109.3544261223,"2013",18437.4444444444,-55.6933333333333,0.146383075523203
"41","RUR",36627,12646,23818,444.91,3932,31109.6507604777,"2013",18828.4444444444,7.42666666666668,0.165085229658242
"42","DNG",13042,4503,6657,471.33,1089,33441.3331153361,"2013",-4756.55555555555,33.8466666666666,0.163587201442091
"43","LK",43117,14887,21559,447.51,3127,35808.2915161066,"2013",25318.4444444444,10.0266666666666,0.145043833201911
"44","LIFF",2896,1000,1308,432.45,198,26071.2821390199,"2013",-14902.5555555556,-5.03333333333336,0.151376146788991
"45","STRN",4527,1563,2122,439.72,348,30203.8530620825,"2013",-13271.5555555556,2.23666666666668,0.163996229971725
"46","BALL",18553,6543,7783,443.37,1012,34370.814829521,"2014",808,10.5422222222222,0.130026981883592
"47","BUNC",3415,1204,1806,432.08,317,25414.329191386,"2014",-14330,-0.747777777777799,0.175526024363234
"48","BUND",1711,603,1640,436.9,372,25278.1844723689,"2014",-16034,4.07222222222219,0.226829268292683
"49","CARN",36097,12730,17582,374.9,2529,27140.6442285234,"2014",18352,-57.9277777777778,0.143840291206916
"50","RUR",36252,12785,23882,445.74,3929,31145.5577322838,"2014",18507,12.9122222222222,0.164517209613935
"51","DNG",13045,4601,6662,457.65,1106,33479.9313308731,"2014",-4700,24.8222222222222,0.166016211347944
"52","LK",43244,15251,21640,459.02,3051,35849.621691228,"2014",25499,26.1922222222222,0.140988909426987
"53","LIFF",2866,1011,1309,418.98,204,26101.3737912832,"2014",-14879,-13.8477777777778,0.155844155844156
"54","STRN",4522,1595,2132,426.81,354,30238.7145559864,"2014",-13223,-6.01777777777778,0.166041275797373
"55","BALL",18521,6669,7790,456.73,999,34814.1228051053,"2015",828.444444444445,12.0555555555555,0.128241335044929
"56","BUNC",3402,1225,1798,445.12,302,25742.1181856402,"2015",-14290.5555555556,0.445555555555529,0.167964404894327
"57","BUND",1688,608,1652,428.69,329,25604.2174989489,"2015",-16004.5555555556,-15.9844444444445,0.199152542372881
"58","CARN",35965,12951,17581,406.17,2486,27490.6988928855,"2015",18272.4444444444,-38.5044444444445,0.141402650588704
"59","RUR",35885,12922,23952,461.52,3925,31547.2669793653,"2015",18192.4444444444,16.8455555555555,0.163869405477622
"60","DNG",13048,4698,6668,467.66,1126,33911.748867193,"2015",-4644.55555555555,22.9855555555555,0.168866226754649
"61","LK",43370,15617,21720,479.1,2984,36312.0030253985,"2015",25677.4444444444,34.4255555555555,0.137384898710866
"62","LIFF",2836,1021,1309,430.45,211,26438.0241509787,"2015",-14856.5555555556,-14.2244444444445,0.161191749427044
"63","STRN",4518,1627,2142,426.63,361,30628.7275190358,"2015",-13174.5555555556,-18.0444444444445,0.168534080298786
"64","BALL",18492,6797,7796,475.67,982,35344.1111111111,"2016",852.555555555555,11.6011111111111,0.125962031811185
"65","BUNC",3390,1246,1791,466.86,287,26134,"2016",-14249.4444444444,2.79111111111109,0.160245672808487
"66","BUND",1665,612,1664,444.42,286,25994,"2016",-15974.4444444444,-19.6488888888889,0.171875
"67","CARN",35829,13170,17581,404.63,2441,27909.2,"2016",18189.5555555556,-59.4388888888889,0.138843069222456
"68","RUR",35515,13054,24018,486.35,3922,32027.5227272727,"2016",17875.5555555556,22.2811111111111,0.163294196019652
"69","DNG",13052,4797,6674,490.35,1142,34428,"2016",-4587.44444444445,26.2811111111111,0.17111177704525
"70","LK",43493,15987,21800,514.64,2912,36864.7941176471,"2016",25853.5555555556,50.5711111111111,0.133577981651376
"71","LIFF",2806,1031,1309,456.22,218,26840.5,"2016",-14833.4444444444,-7.84888888888889,0.166539343009931
"72","STRN",4513,1659,2152,437.48,368,31095,"2016",-13126.4444444444,-26.5888888888889,0.171003717472119
"73","BALL",18463,6925,7802,498.09,965,36026.8219040501,"2017",876.666666666668,9.22444444444443,0.123686234298898
"74","BUNC",3378,1267,1784,495.07,272,26638.8072593077,"2017",-14208.3333333333,6.20444444444445,0.152466367713004
"75","BUND",1642,616,1676,464.61,243,26496.1030036904,"2017",-15944.3333333333,-24.2555555555555,0.144988066825776
"76","CARN",35693,13388,17581,402.22,2396,28448.2972205353,"2017",18106.6666666667,-86.6455555555555,0.136283487856208
"77","RUR",35145,13183,24084,515.25,3919,32646.1699290164,"2017",17558.6666666667,26.3844444444445,0.162722139179538
"78","DNG",13056,4897,6680,511.43,1158,35093.0150885224,"2017",-4530.33333333333,22.5644444444445,0.173353293413174
"79","LK",43616,16360,21880,556.93,2840,37576.878593176,"2017",26029.6666666667,68.0644444444444,0.129798903107861
"80","LIFF",2776,1041,1309,466.19,225,27358.9540921194,"2017",-14810.3333333333,-22.6755555555555,0.171886936592819
"81","STRN",4508,1691,2162,490,375,31695.6344887186,"2017",-13078.3333333333,1.13444444444445,0.173450508788159
"82","BALL",18431,7052,7809,527.22,952,37114.8664325792,"2018",897.111111111109,18.9677777777778,0.121910615955948
"83","BUNC",3365,1288,1776,508.68,257,27443.3247535853,"2018",-14168.8888888889,0.427777777777806,0.144707207207207
"84","BUND",1619,619,1688,505.26,200,27296.310692764,"2018",-15914.8888888889,-2.99222222222221,0.118483412322275
"85","CARN",35561,13607,17580,435.72,2353,29307.4630447984,"2018",18027.1111111111,-72.5322222222222,0.133845278725825
"86","RUR",34778,13308,24154,536.39,3915,33632.1155298607,"2018",17244.1111111111,28.1377777777778,0.162084954872899
"87","DNG",13059,4997,6686,525.29,1178,36152.8577568085,"2018",-4474.88888888889,17.0377777777778,0.176189051749925
"88","LK",43742,16738,21960,584.15,2773,38711.736318384,"2018",26208.1111111111,75.8977777777778,0.126275045537341
"89","LIFF",2746,1051,1309,456.1,232,28185.2207105152,"2018",-14787.8888888889,-52.1522222222222,0.177234530175707
"90","STRN",4504,1723,2172,495.46,382,32652.8730088289,"2018",-13029.8888888889,-12.7922222222222,0.175874769797422
"91","BALL",18404,7183,7814,545,935,38202.9109611082,"2019",923.666666666668,18.0211111111111,0.119657025851037
"92","BUNC",3353,1309,1769,519.72,241,28247.8422478628,"2019",-14127.3333333333,-7.25888888888892,0.136235161107971
"93","BUND",1595,622,1700,511.68,158,28096.5183818377,"2019",-15885.3333333333,-15.2988888888889,0.0929411764705882
"94","CARN",35422,13824,17578,453.19,2308,30166.6288690615,"2019",17941.6666666667,-73.7888888888889,0.131300489247924
"95","RUR",34403,13427,24218,559.59,3912,34618.0611307049,"2019",16922.6666666667,32.6111111111111,0.161532744239822
