Bedrooms,Property Type,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
All bedrooms,All property types,Donegal,576.45,548.91,515.83,482.95,463.63,444.91,445.74,461.52,486.35,515.25,536.39,559.59
All bedrooms,All property types,Donegal Town,689.26,620.35,534.64,514.32,494.44,471.33,457.65,467.66,490.35,511.43,525.29,537.91
All bedrooms,All property types,"Ballybofey, Donegal",592.13,570.32,546.16,509.33,478.71,450.58,443.37,456.73,475.67,498.09,527.22,545
All bedrooms,All property types,"Buncrana, Donegal",558.73,538.74,511.34,487.36,452.53,437.67,432.08,445.12,466.86,495.07,508.68,519.72
All bedrooms,All property types,"Bundoran, Donegal",-1,542,506.68,465.47,444.62,431.39,436.9,428.69,444.42,464.61,505.26,511.68
All bedrooms,All property types,"Carndonagh, Donegal",539.8,495.2,472.34,435.14,414.64,381.79,374.9,406.17,404.63,402.22,435.72,453.19
All bedrooms,All property types,"Letterkenny, Donegal",579.49,560.07,525.36,487.09,471.35,447.51,459.02,479.1,514.64,556.93,584.15,613.79
All bedrooms,All property types,"Lifford, Donegal",541.18,531.54,501.24,461.46,453.28,432.45,418.98,430.45,456.22,466.19,456.1,458.72
All bedrooms,All property types,"Stranorlar, Donegal",581.78,560.24,535.86,495.51,469.45,439.72,426.81,426.63,437.48,490,495.46,543.21
All bedrooms,Detached house,Donegal,617.49,579.56,539.96,513.28,495.7,481.47,478.48,490.36,504.06,530.21,553.34,571.69
All bedrooms,Detached house,Donegal Town,-1,668.17,570.97,539.61,531.94,496.38,488.56,495.52,486.64,510.03,537.48,549.12
All bedrooms,Detached house,"Ballybofey, Donegal",-1,598.39,566.67,559.91,535.07,501.83,502.57,522.15,525.07,547.3,565,587.76
All bedrooms,Detached house,"Buncrana, Donegal",-1,-1,-1,539.38,504.97,485.69,466.28,488.94,501.07,542.77,562.13,553.06
All bedrooms,Detached house,"Bundoran, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
All bedrooms,Detached house,"Carndonagh, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
All bedrooms,Detached house,"Letterkenny, Donegal",660.42,611.57,582.12,531.98,507.88,506.49,523.31,534.96,549.09,597.17,629.98,659.49
All bedrooms,Detached house,"Lifford, Donegal",-1,533.72,492.78,484.46,487.5,456.85,441.59,462.16,481.15,479.11,450.52,445.22
All bedrooms,Detached house,"Stranorlar, Donegal",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558.97,-1
All bedrooms,Semi detached house,Donegal,603.82,570.01,536.91,501.17,471.33,458.22,465.17,480.33,513.35,540.27,565.43,593.06
